employee_id,name,org_unit,current_rank,last_promotion_date
1,Emp 001,Operations,IC,2010-03-30
2,Emp 002,Marketing,IC,2011-11-11
3,Emp 003,Operations,Senior,2011-06-20
4,Emp 004,Sales,IC,2009-04-28
5,Emp 005,Finance,IC,2009-07-27
6,Emp 006,Sales,Manager,2007-02-10
7,Emp 007,Operations,Senior,2010-06-06
8,Emp 008,Engineering,Lead,2009-06-07
9,Emp 009,HR,IC,2011-07-06
10,Emp 010,Sales,IC,2012-04-19
11,Emp 011,HR,IC,2012-12-12
12,Emp 012,Engineering,IC,2010-07-27
13,Emp 013,Operations,Manager,2011-09-27
14,Emp 014,Engineering,IC,2009-11-10
15,Emp 015,IT,IC,2008-07-26
16,Emp 016,Engineering,IC,2012-04-22
17,Emp 017,Operations,IC,2010-07-31
18,Emp 018,Software Development,IC,2008-01-27
19,Emp 019,Engineering,IC,2013-02-26
20,Emp 020,IT,Senior,2012-04-21
21,Emp 021,Operations,IC,2008-06-15
22,Emp 022,IT,IC,2013-03-25
23,Emp 023,Software Development,IC,2009-01-17
24,Emp 024,Engineering,IC,2012-06-08
25,Emp 025,HR,IC,2009-07-22
26,Emp 026,Operations,IC,2012-04-09
27,Emp 027,Marketing,Senior,2007-01-03
28,Emp 028,Finance,IC,2009-03-27
29,Emp 029,IT,Senior,2013-12-28
30,Emp 030,IT,IC,2012-11-01
31,Emp 031,Finance,Lead,2013-10-12
32,Emp 032,Engineering,IC,2012-08-05
33,Emp 033,Software Development,IC,2008-01-03
34,Emp 034,HR,Senior,2007-12-26
35,Emp 035,Sales,IC,2012-01-05
36,Emp 036,Finance,Senior,2012-03-08
37,Emp 037,Software Development,Manager,2011-08-23
38,Emp 038,Sales,Lead,2009-03-05
39,Emp 039,Finance,Senior,2012-05-19
40,Emp 040,Software Development,Manager,2013-11-23
41,Emp 041,IT,IC,2012-02-14
42,Emp 042,Marketing,Lead,2011-06-23
43,Emp 043,IT,IC,2011-02-21
