employee_id,year_month,org_unit,tasks,hours,velocity,quality_mean,on_time_ratio,customer_impact
1,2005-01,Operations,310,339.2,388,0.768,0.938,884
1,2005-02,Operations,280,406.1,125,0.838,0.884,584
1,2005-03,Operations,310,447.5,477,0.877,0.903,930
1,2005-04,Operations,300,489.5,201,0.852,0.852,840
1,2005-05,Operations,310,551.3,312,0.789,0.961,612
1,2005-06,Operations,300,504.9,277,0.862,0.918,729
1,2005-07,Operations,310,455.6,672,0.806,0.874,449
1,2005-08,Operations,310,517.6,515,0.823,0.858,446
1,2005-09,Operations,300,416.2,441,0.863,0.867,685
1,2005-10,Operations,310,312.3,374,0.882,0.911,819
1,2005-11,Operations,300,437.7,373,0.868,0.827,553
1,2005-12,Operations,310,456.0,241,0.813,0.975,436
1,2006-01,Operations,310,483.4,80,0.81,0.908,796
1,2006-02,Operations,280,394.4,419,0.809,0.877,780
1,2006-03,Operations,310,401.0,143,0.762,0.854,774
1,2006-04,Operations,300,421.9,433,0.804,0.908,780
1,2006-05,Operations,310,533.9,411,0.79,0.882,556
1,2006-06,Operations,300,508.9,403,0.802,0.901,745
1,2006-07,Operations,310,422.2,444,0.824,0.879,631
1,2006-08,Operations,310,526.9,116,0.751,0.85,750
1,2006-09,Operations,300,434.8,273,0.908,0.882,807
1,2006-10,Operations,310,372.7,309,0.773,0.883,859
1,2006-11,Operations,300,527.6,395,0.844,0.87,282
1,2006-12,Operations,310,511.5,258,0.844,0.901,1048
1,2007-01,Operations,310,412.3,182,0.841,0.911,988
1,2007-02,Operations,280,539.0,357,0.918,0.841,444
1,2007-03,Operations,310,607.2,280,0.747,0.932,595
1,2007-04,Operations,300,447.2,177,0.849,0.942,1109
1,2007-05,Operations,310,412.8,405,0.771,0.793,717
1,2007-06,Operations,300,568.8,267,0.793,0.893,885
1,2007-07,Operations,310,397.2,316,0.768,0.816,530
1,2007-08,Operations,310,594.0,384,0.936,0.907,894
1,2007-09,Operations,300,548.9,152,0.772,0.864,1140
1,2007-10,Operations,310,469.7,470,0.776,0.947,746
1,2007-11,Operations,300,430.5,323,0.791,0.922,520
1,2007-12,Operations,310,587.0,142,0.84,0.979,690
1,2008-01,Operations,310,425.8,385,0.908,0.911,549
1,2008-02,Operations,290,359.9,381,0.922,0.909,324
1,2008-03,Operations,310,495.8,596,0.933,0.891,555
1,2008-04,Operations,300,450.2,163,0.776,0.932,535
1,2008-05,Operations,310,520.1,315,0.85,0.97,673
1,2008-06,Operations,300,359.9,22,0.827,0.858,337
1,2008-07,Operations,310,348.4,289,0.885,0.834,658
1,2008-08,Operations,310,515.5,416,0.801,0.884,899
1,2008-09,Operations,300,466.6,530,0.821,0.865,576
1,2008-10,Operations,310,609.5,368,0.765,0.905,707
1,2008-11,Operations,300,535.4,611,0.779,0.886,278
1,2008-12,Operations,310,382.1,389,0.902,0.864,488
1,2009-01,Operations,310,512.1,315,0.766,0.874,433
1,2009-02,Operations,280,488.9,61,0.742,1.0,299
1,2009-03,Operations,310,355.3,625,1.0,0.841,559
1,2009-04,Operations,300,349.7,589,0.771,0.888,816
1,2009-05,Operations,310,327.2,282,0.822,0.831,591
1,2009-06,Operations,300,418.1,364,0.797,0.924,873
1,2009-07,Operations,310,323.5,395,0.833,0.9,472
1,2009-08,Operations,310,325.3,325,0.956,0.979,746
1,2009-09,Operations,300,329.7,163,0.901,0.913,745
1,2009-10,Operations,310,551.6,484,0.857,0.844,534
1,2009-11,Operations,300,454.3,337,0.812,0.895,569
1,2009-12,Operations,310,392.6,569,0.676,0.888,694
