employee_id,as_of,readiness_score,decision,label
1,2014-12-31,3228.859,HOLD,0
2,2014-12-31,1792.96,HOLD,0
3,2014-12-31,2193.916,HOLD,0
4,2014-12-31,5088.368,PROMOTE,1
5,2014-12-31,2828.41,HOLD,0
6,2014-12-31,7174.084,PROMOTE,1
7,2014-12-31,2830.596,HOLD,0
8,2014-12-31,3793.575,HOLD,0
9,2014-12-31,2128.641,HOLD,0
10,2014-12-31,2380.316,HOLD,0
11,2014-12-31,1223.687,HOLD,0
12,2014-12-31,3157.101,HOLD,0
13,2014-12-31,1972.81,HOLD,0
14,2014-12-31,3369.068,HOLD,0
15,2014-12-31,3958.965,HOLD,0
16,2014-12-31,1781.369,HOLD,0
17,2014-12-31,2909.622,HOLD,0
18,2014-12-31,5076.806,PROMOTE,1
19,2014-12-31,1187.672,HOLD,0
20,2014-12-31,1676.941,HOLD,0
21,2014-12-31,4194.113,HOLD,0
22,2014-12-31,1073.629,HOLD,0
23,2014-12-31,4403.636,PROMOTE,1
24,2014-12-31,1639.732,HOLD,0
25,2014-12-31,3154.717,HOLD,0
26,2014-12-31,1790.012,HOLD,0
27,2014-12-31,4742.26,PROMOTE,1
28,2014-12-31,3020.01,HOLD,0
29,2014-12-31,613.768,HOLD,0
30,2014-12-31,1214.918,HOLD,0
31,2014-12-31,524.204,HOLD,0
32,2014-12-31,1497.24,HOLD,0
33,2014-12-31,5333.629,PROMOTE,1
34,2014-12-31,4414.1,PROMOTE,1
35,2014-12-31,2694.576,HOLD,0
36,2014-12-31,1399.04,HOLD,0
37,2014-12-31,2535.188,HOLD,0
38,2014-12-31,5320.704,PROMOTE,1
39,2014-12-31,1376.759,HOLD,0
40,2014-12-31,834.978,HOLD,0
41,2014-12-31,1967.471,HOLD,0
42,2014-12-31,2019.109,HOLD,0
43,2014-12-31,2547.613,HOLD,0
44,2014-12-31,1219.238,HOLD,0
45,2014-12-31,3580.89,HOLD,0
46,2014-12-31,1641.989,HOLD,0
47,2014-12-31,3334.703,HOLD,0
48,2014-12-31,2103.349,HOLD,0
49,2014-12-31,1818.713,HOLD,0
50,2014-12-31,1196.784,HOLD,0
51,2014-12-31,4142.737,HOLD,0
52,2014-12-31,4578.938,PROMOTE,1
53,2014-12-31,1836.993,HOLD,0
54,2014-12-31,4772.313,PROMOTE,1
55,2014-12-31,1480.828,HOLD,0
56,2014-12-31,3050.693,HOLD,0
57,2014-12-31,3331.295,HOLD,0
58,2014-12-31,2206.82,HOLD,0
59,2014-12-31,4750.882,PROMOTE,1
60,2014-12-31,4575.98,PROMOTE,1
61,2014-12-31,1168.202,HOLD,0
62,2014-12-31,2133.576,HOLD,0
63,2014-12-31,4845.163,PROMOTE,1
64,2014-12-31,3454.736,HOLD,0
65,2014-12-31,4051.104,HOLD,0
66,2014-12-31,6480.632,PROMOTE,1
67,2014-12-31,4624.299,PROMOTE,1
68,2014-12-31,5018.96,PROMOTE,1
69,2014-12-31,1294.557,HOLD,0
70,2014-12-31,1277.751,HOLD,0
71,2014-12-31,3736.35,HOLD,0
72,2014-12-31,1510.161,HOLD,0
